"All","Todo"
"Allowed Scopes","Ámbitos permitidos"
"An order cannot be created in disallowed store.","No se puede crear una orden en una tienda no permitida."
"Custom","Personalizado"
"None","Ninguno"
"Not enough permissions to delete this item(s): %s.","Necesita más permisos para eliminar este artículo(s): %s."
"Not enough permissions to delete this item.","Necesita más permisos para eliminar este artículo."
"Not enough permissions to save specified Combination of Store Scopes.","Not enough permissions to save specified Combination of Store Scopes."
"Not enough permissions to save this item.","Necesita más permisos para guardar este artículo."
"Not enough permissions to set All Scopes to a Role.","Not enough permissions to set All Scopes to a Role."
"Not enough permissions to view this item.","Necesita más permisos para ver este artículo."
"Please assign this entity to a store view.","Please assign this entity to a store view."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"Role Scopes","Role Scopes"
"This item must be assigned to a store view.","This item must be assigned to a store view."
"This item must be assigned to a website.","This item must be assigned to a website."
"Website ""%s"" is not allowed in your current permission scope.","Website ""%s"" is not allowed in your current permission scope."
"Wrong store ID: %d","Wrong store ID: %d"
"Wrong website ID: %d","Wrong website ID: %d"
